ects_kolegija,tezina_kolegija,postotak_ocjene,tezina_obveze,sigurnost_prije,tip_Ispit,tip_Kolokvij,tip_Labos,tip_Mini test,tip_Ostalo,tip_Projekt,tip_Seminar,tip_Usmeni ispit,tip_Zadaće,sati_ucenja,sati_ucenja_log,id_ispitanika
4.0,6.0,30.0,4.0,3.0,False,False,False,False,False,False,False,False,True,6.0,1.9459101490553132,28
6.0,7.0,100.0,7.0,4.0,True,False,False,False,False,False,False,False,False,7.0,2.0794415416798357,28
6.0,2.0,20.0,2.0,4.0,False,True,False,False,False,False,False,False,False,2.0,1.0986122886681098,29
6.0,2.0,40.0,6.0,4.0,False,False,False,False,False,True,False,False,False,20.0,3.044522437723423,29
4.0,7.0,30.0,10.0,3.0,False,False,False,False,False,True,False,False,False,40.0,3.713572066704308,29
4.0,7.0,30.0,5.0,4.0,False,True,False,False,False,False,False,False,False,8.0,2.1972245773362196,29
5.0,10.0,100.0,10.0,1.0,True,False,False,False,False,False,False,False,False,50.0,3.9318256327243257,29
5.0,10.0,,1.0,8.0,False,False,False,False,False,False,False,True,False,2.0,1.0986122886681098,29
4.0,7.0,50.0,5.0,8.0,False,False,False,False,False,False,True,False,False,20.0,3.044522437723423,30
4.0,7.0,116.7,8.0,6.0,False,False,False,False,False,False,False,True,False,40.0,3.713572066704308,30
4.0,8.0,20.0,6.0,10.0,False,False,False,False,True,False,False,False,False,10.0,2.3978952727983707,30
4.0,8.0,20.0,6.0,10.0,False,False,False,False,True,False,False,False,False,15.0,2.772588722239781,30
3.0,8.0,100.0,8.0,4.0,True,False,False,False,False,False,False,False,False,40.0,3.713572066704308,30
6.0,6.0,22.0,7.0,4.0,False,True,False,False,False,False,False,False,False,40.0,3.713572066704308,31
6.0,6.0,22.0,6.0,4.0,False,False,False,False,False,True,False,False,False,15.0,2.772588722239781,31
6.0,7.0,22.2,7.0,5.0,False,True,False,False,False,False,False,False,False,24.0,3.2188758248682006,31
6.0,7.0,44.4,8.0,6.0,False,False,False,False,False,True,False,False,False,30.0,3.4339872044851463,31
4.0,7.0,100.0,7.0,7.0,True,False,False,False,False,False,False,False,False,24.0,3.2188758248682006,31
4.0,7.0,,8.0,8.0,False,False,False,False,False,False,False,True,False,3.0,1.3862943611198906,31
6.0,8.0,30.0,7.0,5.0,False,True,False,False,False,False,False,False,False,67.0,4.219507705176107,32
6.0,8.0,15.0,10.0,2.0,False,False,False,False,False,True,False,False,False,50.0,3.9318256327243257,32
6.0,9.0,100.0,10.0,5.0,False,True,False,False,False,False,False,False,False,82.0,4.418840607796598,32
